"Дата","Название","ИНН","Адрес","Сайт","Признаки, установленные Банком России","Деятельность прекращена","Дополнительно"
2022-01-19,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИЗИНГОВАЯ КОМПАНИЯ АВТО ФИНАНС"" (ЛК АВТО ФИНАНС)","9703028006","123056, г. Москва, ул. Красина, д. 7, стр. 2, пом. II, ком. 2",,"Признаки нелегального кредитора",0,
2022-01-19,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД ИКО"" (ЛОМБАРДиКО)","2464156442","660012, Красноярский край, г. Красноярск, ул. Карамзина, д. 18, кв. 381","lombardiko.ru","Признаки нелегального кредитора",0,
2022-01-19,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ СТРЕТТОН ОКЛЕНД РУС"" (МКК СТОРУС)","3525473972","160002, Вологодская область, г. Вологда, ул. Южакова, д. 26, помещ. 8",,"Признаки нелегального кредитора",0,
2022-01-18,"AB Trade Company LLC",,,"abtrade.org","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-18,"BitXTrade",,,"bitxtrades.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-18,"CIS Brokers",,,"cisbrokers.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-18,"D-Code, D code, CRYPTO FOREX",,,"d-code.fun","Признаки ""финансовой пирамиды""",0,
2022-01-18,"DUTCH RATE",,,"dutchrate.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-18,"Fastva",,,"fastva.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-18,"Fogee Limited",,,"fogee.cc","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-18,"GAG",,,"gagarin.ltd","Признаки ""финансовой пирамиды""",0,
2022-01-18,"GURU-TRADE",,,"guru-trade.org","Признаки ""финансовой пирамиды""",0,
2022-01-18,"Ionoption",,,"ionoption.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-18,"IqOptex, Namelina Limited",,,"iqoptex.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-18,"LEADERGAME",,,"leadergame.net","Признаки ""финансовой пирамиды""",0,
2022-01-18,"Lemmaz",,,"lemmaz.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-18,"Loan Machine",,,"loanmachine.org","Признаки ""финансовой пирамиды""",0,
2022-01-18,"Marspay",,,"marspay.pro","Признаки ""финансовой пирамиды""",0,
2022-01-18,"MintX markets, MintX, Mintx Limited",,,"mintxmarkets.com, secure.mintxmarkets.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-18,"Panna Inc",,,"pannainc.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-18,"PROFIT-VSEM.XYZ",,,"profit-vsem.xyz","Признаки ""финансовой пирамиды""",0,
2022-01-18,"REFMONEY",,,"refmoney.ru","Признаки ""финансовой пирамиды""",0,
2022-01-18,"Solid ECN Securities, SOLIDECN",,,"solidecn.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-18,"Swib Global",,,"swib.global, web.swib.company, personal.swib.company","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-18,"WRATERWALL",,,"wraterwall.com","Признаки ""финансовой пирамиды""",0,
2022-01-18,"www-club, money time system",,,"www-club.top","Признаки ""финансовой пирамиды""",0,
2022-01-18,"Xinlimited.com",,,"xinlimited.com","Признаки ""финансовой пирамиды""",0,
2022-01-18,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРОДСКОЙ ЛОМБАРД №1""","5638070368","460038, Оренбургская область, г. Оренбург, проспект Дзержинского, дом 26, помещение 1",,"Признаки нелегального кредитора",0,
2022-01-17,"AFON",,,"afon.io","Признаки ""финансовой пирамиды""",0,
2022-01-17,"Certusio",,,"certusio.com","Признаки ""финансовой пирамиды""",0,
2022-01-17,"Club.exchange",,,"club.exchange","Признаки ""финансовой пирамиды""",0,
2022-01-17,"Fxventures.ltd",,,"fxventures.ltd","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-17,"Goldenmine.space, Система золотой рудник",,,"goldenmine.space","Признаки ""финансовой пирамиды""",0,
2022-01-17,"Mango.trade",,,"mango.trade, lc.mango.trade","Признаки ""финансовой пирамиды""",0,
2022-01-17,"Oroku Edge LLC, Oroku Edge",,,"www.orokuedge.com, my.orokuedge.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-17,"Rustle cloud mining, Rustle",,,"rustle.pro","Признаки ""финансовой пирамиды""",0,
2022-01-17,"Yunikon Financial Limited, YunikonFX",,,"yunikonfx.com, app.yunikonfx.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-17,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТ ЛОМБАРД ПЛЮС"" (ИНВЕСТ ПЛЮС)","7722359553","6346780, Ростовская область, г. Азов, ул. Мира, д. 2Б","invest-lombard.ru","Признаки нелегального кредитора",0,
2022-01-17,"Общество с ограниченной ответственностью «Единые лизинговые решения»","9715385676","127322, г. Москва, проезд Огородный, д. 20, стр.1, этаж 5, офис 5003",,"Признаки нелегального кредитора",0,
2022-01-17,"Общество с ограниченной ответственностью «Лизинговая компания «МЕГАПОЛИС»","9703031873","123557, г. Москва, вн. тер.г. муниципальный округ Пресненский, пер. Электрический, д.1, стр. 20А, помещ./этаж i/6, ком./офис 6/6/2",,"Признаки нелегального кредитора",0,
2022-01-14,"Borrica, Borrica Financial Instruments Limited",,,"borrica.com, acc.borrica.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-14,"BTC MINING FARM",,,"cash-btc.com","Признаки ""финансовой пирамиды""",0,
2022-01-14,"Fortexo, Flab Group LTD",,,"fortexo.co, client.fortexo.co","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-14,"GipMaxell Invest Company, GipMaxell",,,"gipmaxell.xyz","Признаки ""финансовой пирамиды""",0,
2022-01-14,"Inkoin",,,"inkoin.site","Признаки ""финансовой пирамиды""",0,
2022-01-14,"НЕКОММЕРЧЕСКОЕ ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО ""ЭФИРРА"" (НПО ЭФИРРА, КОЛИБРИТРЕЙД)","7802892527","194021, г. Санкт-Петербург, вн. тер. г. Муниципальный округ Светлановское, ул. Политехническая, д. 6, стр. 1, помещ. 626, Р.М. 2","kolibritrade.ru, kolibritrade.info, npo-efirra.ru, service.npo-efirra.com
","Признаки ""финансовой пирамиды""",0,
2022-01-14,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ББ ФИНАНС"" (GURU CASH)","7813631100","198096, г. Санкт-Петербург, вн.тер.г. муниципальный округ Автово, ул. Корабельная, д. 6, литера ДЛ, этаж/помещ. 3/1Н, кабинет/раб.место 65/1","gurucash.ru","Признаки нелегального кредитора",0,
2022-01-14,"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""МОС ТРАСТ"" (MOS TRUST ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ, ПК МОС ТРАСТ, MOS TRUST)","9715395201","127562, г. Москва, ш. Алтуфьевское, д. 12, этаж 1, помещ. 1, ком. 3, офис 52","mostrust.finance","Признаки ""финансовой пирамиды""",0,
2022-01-14,"Скупка24, Скупка 24 на Варшавке",,"353465, Краснодарский край, г. Геленджик, ул. Ленина, 27а; 
115477, г. Москва, Пролетарский пр-т, д. 14/49, корп. 2; 
117452, г. Москва, Чонгарский б-р, д. 8, корп. 1","skupka24msk.ru","Признаки нелегального кредитора",0,
2022-01-13,"Fora Trade, ForaTrade, Fora Trade Ltd",,,"foratrade.club","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-13,"NovaVi",,,"cp.novavi.org","Признаки ""финансовой пирамиды""",0,
2022-01-13,"Tutankhamun",,,"tutankhamun.icu","Признаки ""финансовой пирамиды""",0,
2022-01-13,"Your Finance Space",,,"yourfinancespace.com, trade.yourfinancespace.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-13,"Комиссионный магазин ""Лом-бартер""",,"425060, Республика Марий Эл, г. Звенигово, ул. Ленина, д. 50",,"Признаки нелегального кредитора",0,
2022-01-13,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКТИВ ЛОМБАРД ПОБЕДА"" (АЛП)","2310215137","350002, Краснодарский край, г. Краснодар, ул. Садовая, д. 112, офис 20","aktivlombard.ru","Признаки нелегального кредитора",0,
2022-01-13,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД ""МФЦ"" (ЛОМБАРД МФЦ)","2308280756","350004, Краснодарский край, г. Краснодар, ул. Кожевенная, дом 28, кв. 145",,"Признаки нелегального кредитора",0,
2022-01-13,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД ГАРАНТ-ЮГ"" (ГАРАНТ-ЮГ)","2311320529","350012, Краснодарский край, г. Краснодар, ул. Заполярная, дом 37, корпус 4, помещение 43",,"Признаки нелегального кредитора",0,
2022-01-13,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД ФИНЛАЙН-ЮГ"" (ФИНЛАЙН-ЮГ)","1513083879","362001, Республика Северная Осетия - Алания, г. Владикавказ, пр-кт Коста, дом 15, офис 2-7",,"Признаки нелегального кредитора",0,
2022-01-13,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАРТ ЛОМБАРД""","2635250328","355028, Ставропольский край, г. Ставрополь, ул. Тухачевского, дом 30/2, офис 25",,"Признаки нелегального кредитора",0,
2022-01-13,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТРАЛЬНЫЙ ЛОМБАРД""","6165228174","344038, Ростовская область, г. Ростов-на-Дону, ул. Нансена, дом 103, кабинет 14",,"Признаки нелегального кредитора",0,
2022-01-13,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЛОМБАРД ""КАРАТ""","2339023043","352430, Краснодарский край, Курганинский район, г. Курганинск, ул. Серова дом 3/3",,"Признаки нелегального кредитора",0,
2022-01-13,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЛОМБАРД ""ЛИДЕР""","7727700135","119146, г. Москва, вн. тер.г. Муниципальный округ Хамовники, пр-кт Комсомольский, д. 32, к. 2 этаж/помещ. 1/IX, ком. 10",,"Признаки нелегального кредитора",0,
2022-01-13,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЛОМБАРД ""СТАРЫЙ ЛОМБАРДЪ"" (СТАРЫЙ ЛОМБАРДЪ)","2312170682","350088, Краснодарский край, г. Краснодар, ул. Сормовская, дом 197/1, квартира 78",,"Признаки нелегального кредитора",0,
2022-01-13,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЛОМБАРД ""СТОЛИЦА ЮЖНАЯ"" (СТОЛИЦА ЮЖНАЯ)","6162086161","344004, Ростовская область, г. Ростов-на-Дону, пр-кт Стачки, дом 20, этаж 1, ком. 58-59",,"Признаки нелегального кредитора",0,
2022-01-12,"Actual-nova.vip",,,"actual-nova.vip","Признаки ""финансовой пирамиды""",0,
2022-01-12,"BDT Company Europe, BDT",,,"btdeurope.de, bdtcompany.de, client.bdteurope.de","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-12,"Fenix Group",,,"fenixsgroup.com, client.fenixsgroup.com, webtrader.fenixsgroup.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-12,"Lionetix",,,"lionetix.com, client.lionetix.com","Признаки ""финансовой пирамиды""",0,
2022-01-12,"LiquidShells",,,"liquidshells.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-12,"Moneyget, Vesta Future OU",,,"moneyget.trade","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-12,"Nfian",,,"nfian.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-12,"RallyMarkets",,,"www.rallymarkets.com, webtrader.rallymarkets.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-12,"Target Global Investments",,,"target-global-investments.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-12,"VoltDealer",,,"voltdealer.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-12,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КС""","7743100551","127238, г. Москва, Локомотивный проезд, д.21, стр.5, этаж 6, комната 24 (РМ27), помещ. 10/6
",,"Признаки ""финансовой пирамиды""",0,
2022-01-11,"24Tradex, GrouPolo LTD",,,"www.24tradx.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-11,"BONDAS",,,"bondas.top","Признаки ""финансовой пирамиды""",0,
2022-01-11,"BUTWEL",,,"butwel.com","Признаки ""финансовой пирамиды""",0,
2022-01-11,"Dalefox Limited Company",,,"www.dalefoxlimited.com, webtrader.dalefoxlimited.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-11,"GoldFXBank, Gold Inv Solutions LLC",,,"goldfxbank.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-11,"GOODWIN",,,"goodwin.place","Признаки ""финансовой пирамиды""",0,
2022-01-11,"InterActive Group Ltd, InteractiveFund",,,"interactive-fund.com, trade.interactive-fund.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-11,"LeadingFxTrade, Affort Projects S.A.",,,"leadingfxtrade.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-11,"Plus CFD",,,"pluscfd.eu, pluscfd.co","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-11,"ProfitToMe, Vesta Future OU",,,"profittome.trade","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-11,"QOPTER",,,"qopter.fun","Признаки ""финансовой пирамиды""",0,
2022-01-11,"Tank-Money, Tank Money",,,"tank-money.icu","Признаки ""финансовой пирамиды""",0,
2022-01-11,"Viman.top",,,"viman.top","Признаки ""финансовой пирамиды""",0,
2022-01-11,"WEBMISI",,,"webmisi.net, cloud.webmisi.net","Признаки ""финансовой пирамиды""",0,
2022-01-11,"Wixete",,,"wixete.com, trade.wixete.co","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-11,"ZooInvest, Zoo Game",,,"zooinvest.ru","Признаки ""финансовой пирамиды""",0,
2022-01-11,"Магазин. Ломбард, СКУПКА",,"194358, г. Санкт-Петербург, пр. Просвещения, д. 30, корп. 1","9293344.ru","Признаки нелегального кредитора",0,
2022-01-11,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ
КОМПАНИЯ ""РАДОГОСТЪ""
","6318057017","443045, Самарская область, г. Самара, ул. Ивана Булкина, д. 66, кв. 5



",,"Признаки нелегального кредитора",0,
2022-01-11,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""АВАНСОВАЯ КАРТА""","1828030550","427441, Удмуртская Республика, г.о. город Воткинск, г. Воткинск, ул Азина, д. 203а, офис 4","avanscard.ru","Признаки нелегального кредитора",0,
2022-01-11,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""РАДОСТЬ"" ","7726413628","109548, г. Москва, ул. Полбина, д. 3, стр. 2, мансардный эт., пом. №1, каб. 3",,"Признаки нелегального кредитора",0,
2022-01-11,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ
КОМПАНИЯ ""ПРАЙМЕРИКА""","6316274009","443086, Самарская область, г. Самара, ул. Ерошевского, д. 3, офис 2",,"Признаки нелегального кредитора",0,
2022-01-10,"ATRIUM PLC",,,"atrium-plc.com","Признаки ""финансовой пирамиды""",0,
2022-01-10,"BullBit",,,"bullbit.online","Признаки ""финансовой пирамиды""",0,
2022-01-10,"Delta Invest, DeltaInvestment",,,"deltainvestment.uk, cfd.deltainvestment.uk","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-10,"FamForward",,,"famforward.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-10,"Forbschain",,,"www.forbschain.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-10,"Genesis Crypto Option, Genesis Crypto Option Group, Australia Pty Ltd, Trademax Global Limited",,,"genesiscryptooption.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-10,"Megamarken.ru",,,"megamarken.ru","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-10,"MLP Funds",,,"mlpfunds.com, trade.mlpfunds.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-10,"MOBOX",,,"www.mobox.io, mobox-give.com ","Признаки ""финансовой пирамиды""",0,
2022-01-10,"MY CRYPTO PROFITS LTD, SQUID-GAME",,,"squid-game.pw","Признаки ""финансовой пирамиды""",0,
2022-01-10,"ProfitFife",,,"profitfife.com ","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-10,"Rezer",,,"rezer.space","Признаки ""финансовой пирамиды""",0,
2022-01-10,"Royal Stability",,,"royalstability.com","Признаки ""финансовой пирамиды""",0,
2022-01-10,"Safe Invest",,,"safeinvest.uk, trade.safeinvest.uk","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-10,"Seven Capitals",,,"www.fx7capitals.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2022-01-10,"Vebmining Company, VEBmining",,,"vebmining.cloud","Признаки ""финансовой пирамиды""",0,
2022-01-10,"КРД-СОФТ",,,"krd-s.com","Признаки ""финансовой пирамиды""",0,
2022-01-10,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""АГАТ-АМЭ"" (АГАТ-АМЭ)","9204555952","299011, г. Севастополь, ул. Кулакова, д. 26-А, каб. 6","mfoagat.ru","Признаки нелегального кредитора",0,
2022-01-10,"Сryptotron",,,"cryptotron.pro","Признаки ""финансовой пирамиды""",0,
2021-12-30,"10X Клуб, 10X CLUB",,,"10xclub.ru
","Признаки ""финансовой пирамиды""",0,
2021-12-30,"BANK BITCOIN, FORKBITCOIN",,,"forkbitcoin.club, bank-bitkoin.co","Признаки ""финансовой пирамиды""",0,
2021-12-30,"BITCOIN-FARM",,,"bitcoin-farm.space","Признаки ""финансовой пирамиды""",0,
2021-12-30,"DALOMBER",,,"dalomber.website","Признаки ""финансовой пирамиды""",0,
2021-12-30,"Exbot",,,"exbot.cc","Признаки ""финансовой пирамиды""",0,
2021-12-30,"GRENBIT ELECTRO",,,"grenbit.com","Признаки ""финансовой пирамиды""",0,
2021-12-30,"HELPDONE",,,"helpdone.ru","Признаки ""финансовой пирамиды""",0,
2021-12-30,"Investindustrial.sbs",,,"investindustrial.sbs","Признаки ""финансовой пирамиды""",0,
2021-12-30,"RUB-FAUCET",,,"rub-faucet.ru","Признаки ""финансовой пирамиды""",0,
2021-12-30,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСТЕК""","2703026662","681024, Хабаровский край, г. Комосомольск-на-Амуре, пр. Ленина, д. 39, литер В, пом. 27; 
681024, Хабаровский край, г. Комсомольск-на-Амуре, пр-т. Ленина, д. 39, литер А; 
681035, Хабаровский край, г. Комсомольск-на-Амуре, ул. Юбилейная, д. 4з",,"Признаки нелегального кредитора",0,
2021-12-30,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕРЁЗКА"" (ЛОМБАРД МОНЕТАРИЙ)","9715001979","125493, г. Москва, вн.тер.г. муниципальный округ Головинский, ул. Смольная, д. 12, эт. 3, пом. 177","monetary.pro, monetarylombard.ru
","Признаки нелегального кредитора",0,
2021-12-30,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРИСТАЛЛ""","7719492386","105275, г. Москва, вн.тер.г муниципальный округ Соколиная гора, проспект Будённого, д. 39, корп. 1, этаж 2, пом. 1Б","kristalombard.ru","Признаки нелегального кредитора",0,
2021-12-30,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОМБАРД НЕФРИТ"" (ЛОМБАРД НЕФРИТ)","2207011154","658709, Алтайский край, г. Камень-на-Оби, ул Новая, д. 11, кв 19",,"Признаки нелегального кредитора",0,
2021-12-30,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСКОВСКИЙ ЭКОНОМИЧЕСКИЙ ЦЕНТР"" (МОСКОВСКИЙ ЭКОНОМИЧЕСКИЙ ЦЕНТР)","7723618592","108811, г. Москва, км. Киевское шоссе 22-й (П. Московский), домовладение 4 стр. 1, офис 528А",,"Признаки ""финансовой пирамиды""",0,
2021-12-30,"Скупка24",,"142116, Московская область, г. Подольск, Революционный проспект, 34/29","skupka24msk.ru, skupka-city24.ru
","Признаки нелегального кредитора",0,
2021-12-29,"Artix Commercial, ARTIX, ARTIX EXCHANGE MARKET",,,"artix.global, artix.trade/ru","Признаки ""финансовой пирамиды""",0,
2021-12-29,"BAMBOO",,,"bamboo.bond","Признаки ""финансовой пирамиды""",0,
2021-12-29,"CRISCOIN",,,"criscoin.cc","Признаки ""финансовой пирамиды""",0,
2021-12-29,"Denskepartner Ltd, Dansk Trade",,,"www.dansk-trade.com, profile.dansk-trade.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-12-29,"INODEL, VestaFuture OU",,,"inodel.trade","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-12-29,"MR CRYPTO",,,"mrcrypto.biz","Признаки ""финансовой пирамиды""",0,
2021-12-29,"NEAKTOR",,,"neaktor.fun","Признаки ""финансовой пирамиды""",0,
2021-12-29,"Proffits.site",,,"proffits.site","Признаки ""финансовой пирамиды""",0,
2021-12-29,"Комиссионный магазин ""Булавка"", ""Б/У Лавка"", ""БУ Лавка""",,"426069, Удмуртская Республика, г. Ижевск, ул. 7 Подлесная, д. 71","vk.com/bulavka118, vk.com/elabuga_bulavka, vk.com/bulavka_mendeleevsk","Признаки нелегального кредитора",0,
2021-12-29,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРЕДИТОРИУМ-БЛАГОВЕЩЕНСК"" (КРЕДИТОРИУМ)","2801260854","675004, Амурская область, ГО г. Благовещенск, г. Благовещенск, ул. Зейская, д. 173А","blagoveshensk.invest-first.ru","Признаки нелегального кредитора",0,
2021-12-29,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИМАРИ ФИНАНС""","2518003163","692760, Приморский край, г. Артем, ул. Гоголя, д. 5 кв. 70","primarifinance.ru","Признаки ""финансовой пирамиды""",0,
2021-12-28,"5xvest, 5xV Limited",,,"5xvest.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-12-28,"Asicltd.com",,,"asicltd.com","Признаки ""финансовой пирамиды""",0,
2021-12-28,"Battle Trade, Tetris Group LTD",,,"battletrade.co","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-12-28,"Bavats",,,"bavats.com, trade.bavats.pro","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-12-28,"Capartners.ltd",,,"capartners.ltd","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-12-28,"DeFi Trade International Group Limited, DeFiTrade, DeFi Trade, DeFi Trade Limited",,,"defi-trade.top","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-12-28,"Euro Capital",,,"eurocapital.fm, client.eurocapital.fm, webtrader.eurocapital.fm","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-12-28,"Fox mTrading",,,"foxmtrading.com, trade.foxmtrading.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-12-28,"Gnomes-Money",,,"gnomes-money.biz","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-12-28,"Gold Investitions, Gold Investment",,,"alastaraven.ru","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-12-28,"KNB Group, KNB Group Limited",,,"knb-group.net","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-12-28,"MANDEVILLE CONSULTANTS LIMITED",,,"mandevilleconsultantsltd.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-12-28,"Money-Birds",,,"money-birds.cc","Признаки нелегального профессионального участника рынка ценных бумаг",0,
2021-12-28,"Next Pro Trade",,,"nextprotrade.com","Признаки нелегального профессионального участника рынка ценных бумаг",0,
